"filename", "language", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"d:\ahki\public\Emoji\pack3\012-annoyed.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\013-happy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\014-annoyed.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\015-in love.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\016-love.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\017-angry.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\018-evil.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\019-worried.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\020-happy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\021-unamused.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\022-angry.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\023-scared.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\024-confused.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\025-worried.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\026-zombie.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\027-happy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\028-worried.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\029-love.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\030-amazed.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\031-worried.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\032-crying.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\033-angry.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\034-love.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\035-happy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\036-laughing.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\037-evil.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\038-heart eyes.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\039-sad.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\040-sad.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\041-amazed.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\042-freak.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\043-angry.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\044-happy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\045-sad.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\046-goofy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\047-amazed.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\048-happy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\049-grumpy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\050-shocked.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack4\001-zzz.svg", "XML", 0, 0, 0, 0, 59, 1, 1, 61
"d:\ahki\public\Emoji\pack4\002-drop.svg", "XML", 0, 0, 0, 0, 43, 1, 1, 45
"d:\ahki\public\Emoji\pack4\003-drops.svg", "XML", 0, 0, 0, 0, 54, 1, 1, 56
"d:\ahki\public\Emoji\pack4\004-anger.svg", "XML", 0, 0, 0, 0, 77, 1, 1, 79
"d:\ahki\public\Emoji\pack4\005-explosion.svg", "XML", 0, 0, 0, 0, 68, 1, 1, 70
"d:\ahki\public\Emoji\pack4\006-shooting-star.svg", "XML", 0, 0, 0, 0, 54, 1, 1, 56
"d:\ahki\public\Emoji\pack4\007-star.svg", "XML", 0, 0, 0, 0, 78, 1, 1, 80
"d:\ahki\public\Emoji\pack4\008-shining.svg", "XML", 0, 0, 0, 0, 65, 1, 1, 67
"d:\ahki\public\Emoji\pack4\009-fire.svg", "XML", 0, 0, 0, 0, 94, 1, 1, 96
"d:\ahki\public\Emoji\pack4\010-poo.svg", "XML", 0, 0, 0, 0, 74, 1, 1, 76
"d:\ahki\public\Emoji\pack4\011-kiss-3.svg", "XML", 0, 0, 0, 0, 69, 1, 1, 71
"d:\ahki\public\Emoji\pack4\012-alien.svg", "XML", 0, 0, 0, 0, 50, 1, 1, 52
"d:\ahki\public\Emoji\pack4\013-skull.svg", "XML", 0, 0, 0, 0, 75, 1, 1, 77
"d:\ahki\public\Emoji\pack4\014-monkey-2.svg", "XML", 0, 0, 0, 0, 129, 1, 1, 131
"d:\ahki\public\Emoji\pack4\015-monkey-1.svg", "XML", 0, 0, 0, 0, 100, 1, 1, 102
"d:\ahki\public\Emoji\pack4\016-monkey.svg", "XML", 0, 0, 0, 0, 123, 1, 1, 125
"d:\ahki\public\Emoji\pack4\017-tengu.svg", "XML", 0, 0, 0, 0, 71, 1, 1, 73
"d:\ahki\public\Emoji\pack4\018-monster.svg", "XML", 0, 0, 0, 0, 112, 1, 1, 114
"d:\ahki\public\Emoji\pack4\019-cat-8.svg", "XML", 0, 0, 0, 0, 70, 1, 1, 72
"d:\ahki\public\Emoji\pack4\020-cat-7.svg", "XML", 0, 0, 0, 0, 120, 1, 1, 122
"d:\ahki\public\Emoji\pack4\021-cat-6.svg", "XML", 0, 0, 0, 0, 100, 1, 1, 102
"d:\ahki\public\Emoji\pack4\022-kissing-1.svg", "XML", 0, 0, 0, 0, 71, 1, 1, 73
"d:\ahki\public\Emoji\pack4\023-cat-5.svg", "XML", 0, 0, 0, 0, 115, 1, 1, 117
"d:\ahki\public\Emoji\pack4\024-cat-4.svg", "XML", 0, 0, 0, 0, 97, 1, 1, 99
